               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,             0.10048,             0.17357,            0.028196,             0.34786,             0.28311,             0.25233,             0.12422,            0.097188,              0.2381,            0.032497,           0.0087479,           0.0087479,           0.0087479
                  75,             0.10022,             0.17289,            0.028283,             0.36689,             0.27333,             0.25411,              0.1259,            0.097187,             0.23785,            0.032462,           0.0087151,           0.0087151,           0.0087151
                  76,             0.10061,             0.17387,            0.028137,             0.37509,             0.26952,             0.25234,             0.12553,             0.09714,             0.23798,            0.032458,            0.008682,            0.008682,            0.008682
                  77,             0.10018,             0.17358,            0.028135,             0.34804,             0.28566,             0.25273,             0.12556,            0.097094,             0.23807,            0.032441,           0.0086485,           0.0086485,           0.0086485
                  78,              0.1005,             0.17282,            0.028357,             0.36836,             0.27663,             0.25345,             0.12642,            0.097092,             0.23754,            0.032399,           0.0086146,           0.0086146,           0.0086146
                  79,            0.099993,              0.1738,            0.028172,             0.34471,             0.29009,             0.25449,               0.127,            0.097099,             0.23744,            0.032431,           0.0085805,           0.0085805,           0.0085805
                  80,             0.10012,             0.17299,            0.027812,             0.35504,             0.28667,             0.25357,             0.12605,            0.097063,             0.23772,            0.032411,           0.0085459,           0.0085459,           0.0085459
                  81,             0.10055,             0.17542,            0.028132,              0.3638,             0.28185,             0.25573,             0.12681,            0.097049,             0.23778,            0.032346,           0.0085111,           0.0085111,           0.0085111
                  82,              0.1005,              0.1739,            0.028075,             0.35642,             0.28245,             0.25536,              0.1276,             0.09698,             0.23765,            0.032262,           0.0084759,           0.0084759,           0.0084759
                  83,            0.099938,             0.17328,            0.028063,             0.36256,             0.28165,             0.25428,             0.12633,             0.09698,             0.23776,            0.032276,           0.0084404,           0.0084404,           0.0084404
                  84,            0.099567,             0.17188,            0.027955,             0.34841,             0.28733,             0.25573,             0.12643,            0.096958,              0.2377,            0.032338,           0.0084046,           0.0084046,           0.0084046
                  85,             0.10022,             0.17286,            0.028076,             0.35802,             0.28635,             0.25668,             0.12664,            0.096941,              0.2377,             0.03233,           0.0083684,           0.0083684,           0.0083684
                  86,            0.099727,               0.173,            0.027872,             0.34793,             0.28935,             0.25631,             0.12658,            0.096921,             0.23785,            0.032335,           0.0083319,           0.0083319,           0.0083319
                  87,              0.0998,             0.17097,            0.027924,             0.36502,             0.28451,             0.25593,               0.127,            0.096901,              0.2377,            0.032328,           0.0082952,           0.0082952,           0.0082952
                  88,            0.099549,             0.17253,            0.027887,             0.37137,             0.27718,             0.25703,             0.12802,            0.096873,             0.23783,            0.032248,           0.0082581,           0.0082581,           0.0082581
